x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	Md(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
712000	3523000	422	35248.8	2.7791e-01	0.928	6.5237e-07	2.7036e-05	2.0494e-04	8.8102e-03	2.3980e-01	2.8951e-02	1.2347e-04	1.0579e-07	5.8832e-12	1.5445e-17
713000	3523000	263	36215.4	1.9075e-01	0.938	6.6842e-07	5.1723e-05	5.5340e-04	6.5894e-03	1.6393e-01	1.9552e-02	7.6517e-05	5.8352e-08	2.7005e-12	5.3909e-18
714000	3523000	247	37183.7	1.3541e-01	0.953	6.7136e-07	5.0481e-05	6.5794e-04	5.5077e-03	1.1590e-01	1.3240e-02	4.6699e-05	3.1459e-08	1.2048e-12	1.8205e-18
715000	3523000	160	38153.6	9.4147e-02	0.975	6.8629e-07	6.4218e-05	1.0537e-03	4.2776e-03	7.9857e-02	8.8662e-03	2.8355e-05	1.6922e-08	5.3750e-13	6.1605e-19
716000	3523000	182	39125.1	6.6264e-02	0.998	6.8077e-07	5.5453e-05	1.1269e-03	3.4358e-03	5.5700e-02	5.9284e-03	1.7014e-05	8.9525e-09	2.3498e-13	2.0361e-19
717000	3523000	161	40098.0	4.6192e-02	1.031	6.8992e-07	5.4940e-05	1.3009e-03	2.6316e-03	3.8264e-02	3.9301e-03	1.0148e-05	4.7141e-09	1.0236e-13	6.7132e-20
718000	3523000	152	41072.2	3.2213e-02	1.078	6.9357e-07	5.2399e-05	1.4887e-03	1.9690e-03	2.6108e-02	2.5880e-03	6.0039e-06	2.4609e-09	4.4184e-14	2.1923e-20
719000	3523000	186	42047.5	2.2488e-02	1.130	6.8023e-07	4.3652e-05	1.5228e-03	1.4538e-03	1.7768e-02	1.6950e-03	3.5209e-06	1.2712e-09	1.8846e-14	7.0653e-21
720000	3523000	393	43024.1	1.6024e-02	1.123	6.1606e-07	1.9387e-05	9.2077e-04	1.1947e-03	1.2760e-02	1.1266e-03	2.0455e-06	6.4351e-10	7.8127e-15	2.1981e-21
721000	3523000	394	44001.6	1.1149e-02	1.201	6.0527e-07	1.8117e-05	1.0382e-03	8.3280e-04	8.5306e-03	7.2735e-04	1.1836e-06	3.2819e-10	3.2917e-15	7.0018e-22
722000	3523000	323	44980.2	7.9029e-03	1.363	6.3216e-07	2.2067e-05	1.3615e-03	5.4107e-04	5.5153e-03	4.6160e-04	6.7984e-07	1.6687e-10	1.3873e-15	2.2373e-22
723000	3523000	140	45959.7	6.7179e-03	1.795	6.9130e-07	3.8693e-05	2.5887e-03	3.3365e-04	3.4673e-03	2.8845e-04	3.8808e-07	8.4719e-11	5.8613e-16	7.1921e-23
724000	3523000	128	46940.0	5.8722e-03	2.104	6.9238e-07	3.7789e-05	3.1636e-03	2.2227e-04	2.2656e-03	1.8200e-04	2.1940e-07	4.2214e-11	2.4130e-16	2.2390e-23
725000	3523000	140	47921.2	4.8239e-03	2.295	6.8386e-07	3.4337e-05	3.0533e-03	1.4699e-04	1.4744e-03	1.1413e-04	1.2302e-07	2.0840e-11	9.8343e-17	6.8949e-24
726000	3523000	40	48903.1	6.8046e-03	2.679	7.3997e-07	4.5254e-05	5.6291e-03	9.7993e-05	9.6009e-04	7.1340e-05	6.8834e-08	1.0281e-11	4.0120e-17	2.1299e-24
727000	3523000	19	49885.7	7.1588e-03	2.806	7.5019e-07	4.5982e-05	6.3844e-03	6.4180e-05	6.1931e-04	4.4206e-05	3.8096e-08	5.0089e-12	1.6137e-17	6.4755e-25
728000	3523000	91	50869.1	6.3995e-03	2.865	6.9275e-07	3.4305e-05	5.9097e-03	3.9781e-05	3.8813e-04	2.6918e-05	2.0775e-08	2.4053e-12	6.3940e-18	1.9370e-25
729000	3523000	9	51853.0	7.7076e-03	2.931	7.4770e-07	4.2934e-05	7.3700e-03	2.6457e-05	2.5089e-04	1.6565e-05	1.1381e-08	1.1589e-12	2.5429e-18	5.8252e-26
730000	3523000	5	52837.6	8.0810e-03	2.960	7.4549e-07	4.1591e-05	7.8537e-03	1.6797e-05	1.5812e-04	1.0033e-05	6.1503e-09	5.5094e-13	9.9744e-19	1.7260e-26
731000	3523000	4	53822.7	8.4163e-03	2.978	7.4054e-07	3.9933e-05	8.2601e-03	1.0569e-05	9.8900e-05	6.0314e-06	3.2975e-09	2.5981e-13	3.8801e-19	5.0712e-27
