s	phi4.0	phi3.9	phi3.8	phi3.7	phi3.6	phi3.5	phi3.4	phi3.3	phi3.2	phi3.1
907	1786.6325	2530.2888	3505.5415	4742.5949	6252.6405	8014.4876	9960.4596	11965.3733	13844.2002	15364.7483
908	1785.5653	2528.5527	3502.7788	4738.3018	6246.1393	8004.9161	9946.7964	11946.5211	13819.1472	15332.8136
909	1784.4987	2526.8178	3500.0183	4734.0125	6239.6448	7995.3559	9933.1519	11927.6986	13794.1396	15300.9452
910	1783.4328	2525.0842	3497.2599	4729.7272	6233.1570	7985.8072	9919.5261	11908.9058	13769.1773	15269.1430
911	1782.3675	2523.3517	3494.5038	4725.4457	6226.6760	7976.2699	9905.9191	11890.1426	13744.2601	15237.4070
912	1781.3029	2521.6204	3491.7498	4721.1681	6220.2017	7966.7440	9892.3307	11871.4089	13719.3880	15205.7369
913	1780.2389	2519.8903	3488.9980	4716.8944	6213.7342	7957.2295	9878.7609	11852.7048	13694.5609	15174.1326
914	1779.1755	2518.1614	3486.2483	4712.6245	6207.2734	7947.7263	9865.2097	11834.0301	13669.7788	15142.5940
915	1778.1128	2516.4336	3483.5008	4708.3585	6200.8193	7938.2345	9851.6772	11815.3848	13645.0415	15111.1210
916	1777.0507	2514.7071	3480.7555	4704.0964	6194.3719	7928.7540	9838.1631	11796.7690	13620.3490	15079.7134
917	1775.9892	2512.9817	3478.0124	4699.8381	6187.9313	7919.2849	9824.6677	11778.1824	13595.7011	15048.3710
918	1774.9284	2511.2575	3475.2714	4695.5837	6181.4973	7909.8270	9811.1907	11759.6251	13571.0979	15017.0938
919	1773.8682	2509.5346	3472.5325	4691.3331	6175.0700	7900.3805	9797.7322	11741.0971	13546.5392	14985.8817
