calc_step	x	y	z	R	time
400	2607.7153	-1867.0261	3310.7362	1863.6899	166.4987
401	2616.5735	-1871.2224	3312.7171	1865.8571	166.9394
402	2625.4348	-1875.4171	3314.6875	1868.0141	167.3801
403	2634.2991	-1879.6102	3316.6475	1870.1607	167.8207
404	2643.1665	-1883.8018	3318.5970	1872.2972	168.2612
405	2652.0369	-1887.9917	3320.5361	1874.4234	168.7017
406	2660.9103	-1892.1801	3322.4649	1876.5394	169.1422
407	2669.7867	-1896.3669	3324.3832	1878.6452	169.5826
408	2678.6661	-1900.5521	3326.2912	1880.7408	170.0230
409	2687.5484	-1904.7358	3328.1888	1882.8262	170.4633
410	2696.4337	-1908.9179	3330.0761	1884.9014	170.9036
411	2705.3219	-1913.0984	3331.9531	1886.9665	171.3438
412	2714.2130	-1917.2774	3333.8198	1889.0214	171.7840
413	2723.1069	-1921.4549	3335.6762	1891.0662	172.2241
414	2732.0037	-1925.6309	3337.5224	1893.1008	172.6642
415	2740.9034	-1929.8053	3339.3583	1895.1253	173.1042
416	2749.8058	-1933.9782	3341.1840	1897.1397	173.5442
417	2758.7111	-1938.1495	3342.9995	1899.1439	173.9841
418	2767.6191	-1942.3194	3344.8048	1901.1381	174.4240
419	2776.5299	-1946.4878	3346.6000	1903.1222	174.8638
420	2785.4434	-1950.6546	3348.3849	1905.0962	175.3036
421	2794.3597	-1954.8200	3350.1598	1907.0602	175.7433
422	2803.2787	-1958.9839	3351.9245	1909.0141	176.1830
423	2812.2003	-1963.1463	3353.6791	1910.9580	176.6227
424	2821.1246	-1967.3072	3355.4236	1912.8918	177.0623
425	2830.0516	-1971.4667	3357.1581	1914.8156	177.5018
426	2838.9812	-1975.6247	3358.8825	1916.7294	177.9413
427	2847.9134	-1979.7812	3360.5968	1918.6332	178.3808
428	2856.8481	-1983.9363	3362.3012	1920.5269	178.8201
429	2865.7855	-1988.0899	3363.9955	1922.4107	179.2595
430	2874.7254	-1992.2421	3365.6798	1924.2846	179.6988
431	2883.6679	-1996.3929	3367.3542	1926.1484	180.1381
432	2892.6129	-2000.5423	3369.0185	1928.0023	180.5773
433	2901.5604	-2004.6902	3370.6730	1929.8463	181.0164
434	2910.5103	-2008.8367	3372.3175	1931.6803	181.4555
435	2919.4628	-2012.9818	3373.9521	1933.5044	181.8946
436	2928.4177	-2017.1255	3375.5768	1935.3186	182.3336
437	2937.3750	-2021.2678	3377.1916	1937.1229	182.7726
438	2946.3347	-2025.4088	3378.7966	1938.9172	183.2115
439	2955.2969	-2029.5483	3380.3917	1940.7017	183.6503
440	2964.2614	-2033.6865	3381.9770	1942.4763	184.0892
441	2973.2282	-2037.8233	3383.5524	1944.2411	184.5279
442	2982.1975	-2041.9587	3385.1180	1945.9959	184.9667
443	2991.1690	-2046.0928	3386.6739	1947.7410	185.4053
444	3000.1429	-2050.2255	3388.2199	1949.4761	185.8440
445	3009.1190	-2054.3569	3389.7562	1951.2015	186.2825
446	3018.0975	-2058.4870	3391.2828	1952.9170	186.7211
447	3027.0782	-2062.6157	3392.7996	1954.6227	187.1596
448	3036.0611	-2066.7431	3394.3067	1956.3187	187.5980
449	3045.0463	-2070.8692	3395.8041	1958.0048	188.0364
450	3054.0336	-2074.9940	3397.2918	1959.6811	188.4747
451	3063.0232	-2079.1175	3398.7698	1961.3476	188.9130
