x(m)	y(m)	z(m)	distfromvent(m)	ttlmassloading(kg/sq-m)	F(percent)	Mean(phi)	5phi	4phi	3phi	2phi	1phi	0phi	-1phi	-2phi	-3phi	-4phi
712000	3513000	702	39060.7	7.8875e-01	98.6444	1.4244	1.9041e-06	1.0853e-04	3.6051e-04	3.4438e-01	4.3321e-01	1.0657e-02	3.5152e-05	5.4295e-08	6.8254e-12	3.3482e-17
713000	3513000	654	39935.1	5.7706e-01	98.5109	1.4023	1.9871e-06	1.1960e-04	4.2013e-04	2.3959e-01	3.2833e-01	8.5660e-03	2.6838e-05	3.7570e-08	3.9845e-12	1.4997e-17
714000	3513000	634	40815.3	4.1521e-01	98.3942	1.3840	2.0159e-06	1.2566e-04	5.0701e-04	1.6473e-01	2.4318e-01	6.6477e-03	1.9688e-05	2.4939e-08	2.2292e-12	6.4326e-18
715000	3513000	292	41700.8	2.6953e-01	98.0822	1.3582	1.9182e-06	3.0332e-04	3.2542e-03	9.4297e-02	1.6650e-01	5.1539e-03	1.4934e-05	1.7313e-08	1.3136e-12	2.9237e-18
716000	3513000	507	42591.5	1.9628e-01	98.1185	1.3515	2.0612e-06	1.7237e-04	1.4002e-03	6.9364e-02	1.2165e-01	3.6832e-03	9.7839e-06	1.0154e-08	6.4481e-13	1.0941e-18
717000	3513000	427	43486.9	1.3023e-01	97.9859	1.3449	2.0553e-06	1.9330e-04	1.9187e-03	4.3121e-02	8.2373e-02	2.6164e-03	6.5762e-06	6.1755e-09	3.3050e-13	4.3001e-19
718000	3513000	374	44386.7	8.5510e-02	97.8906	1.3502	2.0455e-06	2.0269e-04	2.2743e-03	2.6588e-02	5.4640e-02	1.7995e-03	4.2568e-06	3.6098e-09	1.6257e-13	1.6201e-19
719000	3513000	620	45290.8	5.8663e-02	97.9502	1.3318	2.0636e-06	9.3604e-05	8.7484e-04	1.8632e-02	3.7858e-02	1.1999e-03	2.5689e-06	1.9355e-09	7.2490e-14	5.4781e-20
720000	3513000	369	46198.8	3.6393e-02	97.8549	1.4122	2.0803e-06	1.7465e-04	2.6416e-03	9.9694e-03	2.2825e-02	7.7906e-04	1.6011e-06	1.0979e-09	3.4801e-14	2.0245e-20
721000	3513000	140	47110.6	2.7116e-02	98.1906	1.7450	2.0392e-06	2.3915e-04	7.2426e-03	5.4824e-03	1.3659e-02	4.8968e-04	9.5682e-07	5.9533e-10	1.5945e-14	7.1339e-21
722000	3513000	319	48025.8	1.6780e-02	98.2038	1.7353	2.0801e-06	1.6487e-04	4.3854e-03	3.3655e-03	8.5603e-03	3.0085e-04	5.3489e-07	2.9583e-10	6.5858e-15	2.2333e-21
