source	x	y	z	R	time
369	32806.4791	-15113.5284	3518.8322	2108.7651	1413.7191
370	32898.0821	-15153.6395	3518.8322	2108.7651	1417.4570
371	32989.6850	-15193.7506	3518.8322	2108.7651	1421.1948
372	33081.2879	-15233.8618	3518.8322	2108.7651	1424.9327
373	33172.8909	-15273.9729	3518.8322	2108.7651	1428.6705
374	33264.4938	-15314.0840	3518.8322	2108.7651	1432.4084
375	33356.0968	-15354.1951	3518.8322	2108.7651	1436.1462
376	33447.6997	-15394.3062	3518.8322	2108.7651	1439.8841
377	33539.3026	-15434.4173	3518.8322	2108.7651	1443.6219
378	33630.9056	-15474.5284	3518.8322	2108.7651	1447.3598
379	33722.5085	-15514.6395	3518.8322	2108.7651	1451.0976
380	33814.1115	-15554.7506	3518.8322	2108.7651	1454.8355
381	33905.7144	-15594.8617	3518.8322	2108.7651	1458.5733
382	33997.3174	-15634.9728	3518.8322	2108.7651	1462.3112
383	34088.9203	-15675.0839	3518.8322	2108.7651	1466.0490
384	34180.5232	-15715.1951	3518.8322	2108.7651	1469.7869
385	34272.1262	-15755.3062	3518.8322	2108.7651	1473.5247
386	34363.7291	-15795.4173	3518.8322	2108.7651	1477.2626
387	34455.3321	-15835.5284	3518.8322	2108.7651	1481.0004
388	34546.9350	-15875.6395	3518.8322	2108.7651	1484.7383
389	34638.5379	-15915.7506	3518.8322	2108.7651	1488.4761
390	34730.1409	-15955.8617	3518.8322	2108.7651	1492.2140
391	34821.7438	-15995.9728	3518.8322	2108.7651	1495.9518
392	34913.3468	-16036.0839	3518.8322	2108.7651	1499.6897
393	35004.9497	-16076.1950	3518.8322	2108.7651	1503.4275
394	35096.5527	-16116.3061	3518.8322	2108.7651	1507.1654
395	35188.1556	-16156.4172	3518.8322	2108.7651	1510.9032
396	35279.7585	-16196.5284	3518.8322	2108.7651	1514.6411
397	35371.3615	-16236.6395	3518.8322	2108.7651	1518.3789
398	35462.9644	-16276.7506	3518.8322	2108.7651	1522.1168
399	35554.5674	-16316.8617	3518.8322	2108.7651	1525.8546
400	35646.1703	-16356.9728	3518.8322	2108.7651	1529.5925
401	35737.7733	-16397.0839	3518.8322	2108.7651	1533.3303
402	35829.3762	-16437.1950	3518.8322	2108.7651	1537.0682
403	35920.9791	-16477.3061	3518.8322	2108.7651	1540.8060
404	36012.5821	-16517.4172	3518.8322	2108.7651	1544.5439
405	36104.1850	-16557.5283	3518.8322	2108.7651	1548.2817
406	36195.7880	-16597.6394	3518.8322	2108.7651	1552.0196
407	36287.3909	-16637.7506	3518.8322	2108.7651	1555.7574
408	36378.9938	-16677.8617	3518.8322	2108.7651	1559.4953
409	36470.5968	-16717.9728	3518.8322	2108.7651	1563.2331
410	36562.1997	-16758.0839	3518.8322	2108.7651	1566.9710
411	36653.8027	-16798.1950	3518.8322	2108.7651	1570.7088
412	36745.4056	-16838.3061	3518.8322	2108.7651	1574.4467
413	36837.0086	-16878.4172	3518.8322	2108.7651	1578.1845
414	36928.6115	-16918.5283	3518.8322	2108.7651	1581.9224
415	37020.2144	-16958.6394	3518.8322	2108.7651	1585.6602
416	37111.8174	-16998.7505	3518.8322	2108.7651	1589.3981
417	37203.4203	-17038.8616	3518.8322	2108.7651	1593.1360
418	37295.0233	-17078.9727	3518.8322	2108.7651	1596.8738
419	37386.6262	-17119.0839	3518.8322	2108.7651	1600.6117
420	37478.2291	-17159.1950	3518.8322	2108.7651	1604.3495
421	37569.8321	-17199.3061	3518.8322	2108.7651	1608.0874
422	37661.4350	-17239.4172	3518.8322	2108.7651	1611.8252
423	37753.0380	-17279.5283	3518.8322	2108.7651	1615.5631
424	37844.6409	-17319.6394	3518.8322	2108.7651	1619.3009
425	37936.2439	-17359.7505	3518.8322	2108.7651	1623.0388
426	38027.8468	-17399.8616	3518.8322	2108.7651	1626.7766
427	38119.4497	-17439.9727	3518.8322	2108.7651	1630.5145
428	38211.0527	-17480.0838	3518.8322	2108.7651	1634.2523
429	38302.6556	-17520.1949	3518.8322	2108.7651	1637.9902
430	38394.2586	-17560.3060	3518.8322	2108.7651	1641.7280
